name,medianPayDiff,section,clean_name,highlight
Heart Of England NHS Foundation Trust,17.5,Human health and social work activities,Heart Of England Nhs Foundation Trust,
HELENA PARTNERSHIPS LIMITED,-3,Construction,Helena Partnerships,
HELENA PARTNERSHIPS LIMITED,-3,Real estate activities,Helena Partnerships,
HELENA PARTNERSHIPS LIMITED,-3,Administrative and support service activities,Helena Partnerships,
HENDY GROUP LIMITED,9.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hendy Group,
HENKEL LIMITED,32.7,Manufacturing,Henkel,
Henley College Coventry,21.1,Public Sector,Henley College Coventry,
Her Majesty's Land Registry,18.5,Public Sector,Her Majesty's Land Registry,
HERBERT T. FORREST LIMITED,13.3,Construction,Herbert T. Forrest,
Hereford & Worcester Fire & Rescue Service,23.6,Public Sector,Hereford & Worcester Fire & Rescue Service,
Hereford & Worcester Fire & Rescue Service,23.6,Public administration and defence; compulsory social security,Hereford & Worcester Fire & Rescue Service,
Herefordshire Council,15.4,Public Sector,Herefordshire Council,
Herefordshire Council,15.4,Public administration and defence; compulsory social security,Herefordshire Council,
HERITAGE CARE LIMITED,0,Human health and social work activities,Heritage Care,
HERITAGE MANOR LIMITED,-1,Construction,Heritage Manor,
HERITAGE MANOR LIMITED,-1,Human health and social work activities,Heritage Manor,
HERMAN MILLER LIMITED,8.4,Manufacturing,Herman Miller,
HERMES FUND MANAGERS LIMITED,24.4,Financial and insurance activities,Hermes Fund Managers,
HERTS FOR LEARNING LIMITED,-29.6,Education,Herts For Learning,
Hertsmere Borough Council,-6.7,Public Sector,Hertsmere Borough Council,
Hertsmere Borough Council,-6.7,Public administration and defence; compulsory social security,Hertsmere Borough Council,
HERTZ (U.K.) LIMITED,24.3,Administrative and support service activities,Hertz,
HEXCEL COMPOSITES LIMITED,-14.8,Manufacturing,Hexcel Composites,
Hexstone Ltd.,0.4,Manufacturing,Hexstone,
Hexstone Ltd.,0.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hexstone,
HFD LIMITED,9.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hfd,
HIGH LIFE HIGHLAND,4.3,Education,High Life Highland,
HIGH LIFE HIGHLAND,4.3,"Arts, entertainment and recreation",High Life Highland,
HIGHLAND DISTILLERS LIMITED,17.1,Manufacturing,Highland Distillers,
HIGHLAND DISTILLERS LIMITED,17.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Highland Distillers,
HIGHLAND HOME CARERS LIMITED,0,Administrative and support service activities,Highland Home Carers,
HIGHWAYS ENGLAND COMPANY LIMITED,-1.4,Construction,Highways England Company,
HIGHWAYS ENGLAND COMPANY LIMITED,-1.4,Transportation and storage,Highways England Company,
HIGHWAYS ENGLAND COMPANY LIMITED,-1.4,"Professional, scientific and technical activities",Highways England Company,
HIGHWAYS ENGLAND COMPANY LIMITED,-1.4,Public administration and defence; compulsory social security,Highways England Company,
HILL & KNOWLTON LIMITED,-3.9,Administrative and support service activities,Hill & Knowlton,
HILLIER NURSERIES LIMITED,11,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hillier Nurseries,
HILLS WASTE SOLUTIONS LIMITED,-5.2,"Water supply, sewerage, waste management and remediation activities",Hills Waste Solutions,
HILTI (GT.BRITAIN) LIMITED,8.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hilti (gt.britain),
Hinchingbrooke School,32.1,Public Sector,Hinchingbrooke School,
Hinchingbrooke School,32.1,Education,Hinchingbrooke School,
Hinckley And Bosworth Borough Council,0,Public Sector,Hinckley And Bosworth Borough Council,
Hinckley And Bosworth Borough Council,0,Public administration and defence; compulsory social security,Hinckley And Bosworth Borough Council,
HINDUJA GLOBAL SOLUTIONS UK LIMITED,-2,Administrative and support service activities,Hinduja Global Solutions Uk,
HIPPODROME CASINO LIMITED,4.7,"Arts, entertainment and recreation",Hippodrome Casino,
HISCOX UNDERWRITING GROUP SERVICES LIMITED,26.2,Other service activities,Hiscox Underwriting Group Services,
HM Revenue and Customs (HMRC),12.5,Public Sector,Hm Revenue And Customs (hmrc),
HM Treasury,13.7,Public Sector,Hm Treasury,
HML HOLDINGS PLC,9.8,"Professional, scientific and technical activities",Hml Holdings,
Hobs Reprographics PLC,16.4,"Professional, scientific and technical activities",Hobs Reprographics,
HOGARTH WORLDWIDE LIMITED,22,"Professional, scientific and technical activities",Hogarth Worldwide,
Holy Family Catholic Academy Trust,34,Public Sector,Holy Family Catholic Academy Trust,
Holy Family Catholic Academy Trust,34,Education,Holy Family Catholic Academy Trust,
Home Office,15.1,Public Sector,Home Office,
Home Office,15.1,Public administration and defence; compulsory social security,Home Office,
Homes England,19.6,Public Sector,Homes England,
HOPE HOUSE CHILDREN'S HOSPICES,-3.5,Human health and social work activities,Hope House Children's Hospices,
Hopwells Ltd,5.5,Accommodation and food service activities,Hopwells,
Hopwood Hall College,3.6,Public Sector,Hopwood Hall College,
Hopwood Hall College,3.6,Education,Hopwood Hall College,
Horder Healthcare,6,Human health and social work activities,Horder Healthcare,
Horizon Community College,45,Public Sector,Horizon Community College,
Horizon Community College,45,Education,Horizon Community College,
Horizons Specialist Academy Trust,34,Public Sector,Horizons Specialist Academy Trust,
Horizons Specialist Academy Trust,34,Education,Horizons Specialist Academy Trust,
Hornbeam Academy Trust,14,Public Sector,Hornbeam Academy Trust,
Hornbeam Academy Trust,14,Education,Hornbeam Academy Trust,
Houghton PLC,-22.5,Manufacturing,Houghton,
HOUSE OF FRASER (STORES) LIMITED,1,Wholesale and retail trade; repair of motor vehicles and motorcycles,House Of Fraser (stores),
HP INC UK LIMITED,-12.7,Manufacturing,Hp Inc Uk,
HR ESSENTIALS LIMITED,0.7,Administrative and support service activities,Hr Essentials,
HSBC Bank PLC,29,Financial and insurance activities,Hsbc Bank,
HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED,39,Financial and insurance activities,Hsbc Global Asset Management,
HSBC GLOBAL SERVICES (UK) LIMITED,33,Administrative and support service activities,Hsbc Global Services,
HSBC GROUP MANAGEMENT SERVICES LIMITED,24,Administrative and support service activities,Hsbc Group Management Services,
HSBC PRIVATE BANK (UK) LIMITED,35,Financial and insurance activities,Hsbc Private Bank,
HUDSON GLOBAL RESOURCES LIMITED,20,Administrative and support service activities,Hudson Global Resources,
Hugh Baird College,21.9,Public Sector,Hugh Baird College,
Hugh Baird College,21.9,Education,Hugh Baird College,
HUGHES ELECTRICAL LIMITED,-1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hughes Electrical,
HUGHES ELECTRICAL LIMITED,-1,"Professional, scientific and technical activities",Hughes Electrical,
HUGHES ELECTRICAL LIMITED,-1,Administrative and support service activities,Hughes Electrical,
HUGHES TV AND AUDIO LIMITED,21.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hughes Tv And Audio,
HUGHES TV AND AUDIO LIMITED,21.2,Administrative and support service activities,Hughes Tv And Audio,
HUGO BOSS UK LIMITED,4.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hugo Boss Uk,
Hull Collaborative Academy Trust,17,Public Sector,Hull Collaborative Academy Trust,
Hull Collaborative Academy Trust,17,Education,Hull Collaborative Academy Trust,
HYDRO COMPONENTS UK LTD.,0,Manufacturing,Hydro Components Uk .,
Hyndburn Borough Council,2.7,Public Sector,Hyndburn Borough Council,
Hyndburn Borough Council,2.7,Public administration and defence; compulsory social security,Hyndburn Borough Council,
HYPNOS LIMITED,-2.4,Manufacturing,Hypnos,
I CARE (GB) LIMITED,0,Administrative and support service activities,I Care (gb),
I4 PAY PARTNERS LIMITED,-10,"Professional, scientific and technical activities",I4 Pay Partners,
IBC VEHICLES LIMITED,0.9,Manufacturing,Ibc Vehicles,
IBSTOCK BRICK LIMITED,19,Manufacturing,Ibstock Brick,
ICON AEROSPACE TECHNOLOGY LTD,4.3,Manufacturing,Icon Aerospace Technology,
IDEAGEN SOFTWARE LIMITED,25,Information and communication,Ideagen Software,
IDEAL CAREHOMES (NUMBER ONE) LIMITED,9,Human health and social work activities,Ideal Carehomes (number One),
IDOX PLC,20,Financial and insurance activities,Idox,
IFORCE LIMITED,0,Administrative and support service activities,Iforce,
IG DESIGN GROUP UK LIMITED,19.8,Manufacturing,Ig Design Group Uk,
IG INDEX LIMITED,21.6,"Arts, entertainment and recreation",Ig Index,
IMPACT FORK TRUCKS LIMITED,14.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Impact Fork Trucks,
IMPACT FORK TRUCKS LIMITED,14.4,Administrative and support service activities,Impact Fork Trucks,
Imperial Commercials Ltd,21,Wholesale and retail trade; repair of motor vehicles and motorcycles,Imperial Commercials,
IN DEPTH SERVICES (CLEANING) LIMITED,2.3,Administrative and support service activities,In Depth Services (cleaning),
INCHCAPE RETAIL LIMITED,4.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Inchcape Retail,
INCOMMUNITIES GROUP LIMITED,11.2,Accommodation and food service activities,Incommunities Group,
Independence Matters C.I.C.,-2,Human health and social work activities,Independence Matters C.i.c.,
INDEPENDENT CATERING MANAGEMENT LIMITED,0,Accommodation and food service activities,Independent Catering Management,
INDEPENDENT TELEVISION NEWS LIMITED,18.2,Information and communication,Independent Television News,
Indigo Sun Retail Ltd.,39.7,Other service activities,Indigo Sun Retail,
Industrial Site Maintenance Ltd,0,Administrative and support service activities,Industrial Site Maintenance,
INDUSTRIAL TURBINE COMPANY (UK) LIMITED,13.2,Manufacturing,Industrial Turbine Company,
INFLITE ENGINEERING SERVICES LIMITED,24.4,Manufacturing,Inflite Engineering Services,
INFOR (UNITED KINGDOM) LIMITED,32.3,Information and communication,Infor (united Kingdom),
Ingleby Services,25,"Professional, scientific and technical activities",Ingleby Services,
INHEALTH LIMITED,18.4,Human health and social work activities,Inhealth,
INMARSAT GLOBAL LIMITED,24.1,Information and communication,Inmarsat Global,
INMARSAT GLOBAL LIMITED,24.1,Administrative and support service activities,Inmarsat Global,
INN ON THE PARK (LONDON) LIMITED,11.1,Accommodation and food service activities,Inn On The Park (london),
INNOGY BUSINESS SERVICES UK LIMITED,29,Information and communication,Innogy Business Services Uk,
INNOGY RENEWABLES UK LIMITED,20,"Electricity, gas, steam and air conditioning supply",Innogy Renewables Uk,
INNOVIA FILMS LIMITED,15.3,Manufacturing,Innovia Films,
INS-SURE SERVICES LIMITED,45,Financial and insurance activities,Ins-sure Services,
INSIGHT HEALTHCARE LTD.,10,Human health and social work activities,Insight Healthcare .,
INSIGHT INVESTMENT MANAGEMENT LIMITED,32,Financial and insurance activities,Insight Investment Management,
Inspiration Trust,17.6,Public Sector,Inspiration Trust,
Inspiration Trust,17.6,Education,Inspiration Trust,
INSPIRE FIELD MARKETING LIMITED,0,Administrative and support service activities,Inspire Field Marketing,
Inspiring Futures Through Learning,31.2,Public Sector,Inspiring Futures Through Learning,
Inspiring Futures Through Learning,31.2,Education,Inspiring Futures Through Learning,
Institute of Our Lady of Mercy,7.9,Education,Institute Of Our Lady Of Mercy,
Institute of Our Lady of Mercy,7.9,Human health and social work activities,Institute Of Our Lady Of Mercy,
Institute of Our Lady of Mercy,7.9,Other service activities,Institute Of Our Lady Of Mercy,
INTEGRATED CLEANING MANAGEMENT LIMITED,0.3,Administrative and support service activities,Integrated Cleaning Management,
INTEGREON MANAGED SOLUTIONS LIMITED,16,Administrative and support service activities,Integreon Managed Solutions,
INTEGRITY PRINT LIMITED,15.1,Manufacturing,Integrity Print,
INTELLIGENT OFFICE UK LIMITED,-13.3,Information and communication,Intelligent Office Uk,
INTELLIGENT OFFICE UK LIMITED,-13.3,"Professional, scientific and technical activities",Intelligent Office Uk,
INTELLIGENT OFFICE UK LIMITED,-13.3,Administrative and support service activities,Intelligent Office Uk,
INTELLIGENT PROCESSING SOLUTIONS LIMITED,15,Financial and insurance activities,Intelligent Processing Solutions,
INTERCONTINENTAL HOTELS GROUP SERVICES COMPANY,31.7,Other service activities,Intercontinental Hotels Group Services Company,
INTERFLOOR LIMITED,11.1,Manufacturing,Interfloor,
INTERTISSUE LIMITED,-3.4,Manufacturing,Intertissue,
INTRINSIC FINANCIAL SERVICES LIMITED,25,Financial and insurance activities,Intrinsic Financial Services,
INTU MANAGEMENT SERVICES LIMITED,35.6,"Professional, scientific and technical activities",Intu Management Services,
INTU PROPERTIES PLC,2.6,Financial and insurance activities,Intu Properties,
INTU RETAIL SERVICES LIMITED,2.3,Administrative and support service activities,Intu Retail Services,
Invictus Education Trust,54.2,Public Sector,Invictus Education Trust,
Invictus Education Trust,54.2,Education,Invictus Education Trust,
IOP PUBLISHING LIMITED,14.3,Information and communication,Iop Publishing,
IPPLUS (UK) LIMITED,0.2,Administrative and support service activities,Ipplus,
IRESS FS LIMITED,16.8,Information and communication,Iress Fs,
ISMET TUREN LIMITED,1.1,Accommodation and food service activities,Ismet Turen,
IVOR SHAW LIMITED,16.7,Manufacturing,Ivor Shaw,
IVOR SHAW LIMITED,16.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ivor Shaw,
J. TOMLINSON LIMITED,39.6,Construction,J. Tomlinson,
J. WALTER THOMPSON GROUP LIMITED,44.7,"Professional, scientific and technical activities",J. Walter Thompson Group,
J.D. Williams & Co. Ltd.,-7.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,J.d. Williams & Co.,
J.H.& F.W.GREEN LIMITED,-1.8,"Agriculture, Forestry and Fishing",J.h.& F.w.green,
J.H.& F.W.GREEN LIMITED,-1.8,Real estate activities,J.h.& F.w.green,
J.H.& F.W.GREEN LIMITED,-1.8,"Professional, scientific and technical activities",J.h.& F.w.green,
J.M. Finn & Co.Ltd,40,Financial and insurance activities,J.m. Finn & Co.,
J.N. BENTLEY LIMITED,13.6,Construction,J.n. Bentley,
J5C MANAGEMENT LIMITED,1,Accommodation and food service activities,J5c Management,
JACK WILLS LIMITED,4.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Jack Wills,
JACKSON LIFT SERVICES LIMITED,47,Manufacturing,Jackson Lift Services,
JAGUAR LAND ROVER LIMITED,3.8,Manufacturing,Jaguar Land Rover,
JAKE RESTAURANTS LTD,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Jake Restaurants,
JAMES BEATTIE LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,James Beattie,
JAMES CONVENIENCE RETAIL LIMITED,2.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,James Convenience Retail,
"JAMES DAWSON & SON,LIMITED",9.4,Manufacturing,"James Dawson & Son,",
JAMES FREW LIMITED,55.5,Manufacturing,James Frew,
JAMES FREW LIMITED,55.5,Construction,James Frew,
JAMES KEMBALL LIMITED,-25.2,Transportation and storage,James Kemball,
JDA SOFTWARE UK LIMITED,21,Information and communication,Jda Software Uk,
JELD-WEN UK LIMITED,3,Manufacturing,Jeld-wen Uk,
JET2.COM LIMITED,49.7,Transportation and storage,Jet2.com,
JET2HOLIDAYS LIMITED,9.4,Administrative and support service activities,Jet2holidays,
JEWISH CARE,-0.1,Human health and social work activities,Jewish Care,
JLT BENEFIT SOLUTIONS LIMITED,19.9,Financial and insurance activities,Jlt Benefit Solutions,
JLT MANAGEMENT SERVICES LIMITED,13.7,"Professional, scientific and technical activities",Jlt Management Services,
JLT REINSURANCE BROKERS LIMITED,50.5,Financial and insurance activities,Jlt Reinsurance Brokers,
JLT SPECIALTY LIMITED,38.9,Financial and insurance activities,Jlt Specialty,
